Alemão,Português
dauerte,pegou
brooklyn,Brooklyn
lebenden,vivendo
bevölkerung,população
hergebracht,trouxe
just,apenas
durchziehen,puxar através
gepackt,embalado
service,serviço
furchtbare,Terrível
liebster,amável
flieger,avião
vorschriften,regulamentos
beherrschen,comando
guy,cara
detail,detalhe
ausgewählt,selecionado
herunter,abaixo
schriftsteller,escritor
wärt,seria
kümmer,descuidado
andererseits,por outro lado
bay,baía
gene,genes
shuttle,transporte
üblich,usual
entführen,sequestrar
ike,Ike
jury,júri
box,caixa
ausgedacht,considerado
freddy,Freddy
partys,festas
rausgefunden,descobriu
plant,planos
feige,covardemente
gesungen,cantado
möbel,mobília
bewährung,liberdade condicional
schieße,tiroteio
umgeben,cercada
berater,orientador
e-mail,e-mail
bailey,Bailey
zoo,jardim zoológico
gedicht,poema
lorelai,LORELAI
bellt,Latidos
vorschlagen,sugerir
genießt,aproveitar
baseball,beisebol
locken,Beckon
ooh,ooh
trennung,separação
lautsprecher,palestrante
ticket,bilhete
umwerfend,esplêndido
kanzlei,chancelaria
wahres,verdadeiro
zufolge,de acordo com
come,vir
hebt,elevação
anschlag,ataque
timing,tempo
kid,criança
tucker,Tucker
befehlen,comando
etage,chão
dazwischen,entre
jules,Jules
heisst,é chamado
objekt,objeto
bedaure,arrependimento
wobei,através do qual
kokain,cocaína
strategie,estratégia
freundes,amigo
wolken,nuvens
gräfin,condessa
bruno,Bruno
getreten,chutado
cal,cal
pardon,perdão
genosse,camarada
ungut,inesperadamente
verteilen,distribuir
fuchs,Raposa
day,dia
organisiert,organizado
bla,bla
up,acima
world,mundo
east,Leste
löcher,buracos
aktiv,ativo
hunter,caçador
werfe,lançar
beantwortet,respondidas
meist,Maior parte do tempo
reis,arroz
hierhin,aqui
scotch,Escocês
überfahren,atropelar
logisch,lógico
heather,Mesclado
französische,Francês
bekannte,conhecido
episode,episódio
engagiert,empenhado
manipuliert,manipulado
zellen,células
are,São
blake,Blake
dienste,Serviços
sodass,para que
volkes,pessoas
golf,golfe
janet,Janet
schmeißen,lançar
grand,grande
zurückgekehrt,devolvida
eröffnet,abrir
summt,purê
unterrichten,ensinar
verschaffen,fornecer
verlobte,noiva
erfahrungen,experiências
shit,merda
persönlichkeit,personalidade
gina,Gina
streichen,cancelar
offenen,abrir
weisheit,sabedoria
vergeht,passado
beruhig,acalmar
zielen,mirar
fans,fãs
wüsstest,Teste de multidão
ashley,Ashley
schuldet,deve -se
erhöhen,aumentar
schönsten,mais bonito
momente,momentos
adrian,Adrian
kameraden,camaradas
eingebrochen,arrombado
amüsiert,divertido
erwähnte,mencionado
mitch,Mitch
premierminister,primeiro ministro
geringste,ao menos
übernachten,passar a noite
infiziert,infetado
goa,Goa
dinner,jantar
rieche,cheiro
kredit,crédito
allison,Allison
lake,lago
legal,jurídico
merke,perceber
jubel,júbilo
klänge,sons
größeren,maior
bewacht,guardado
vietnam,Vietnã
lehren,ensinar
chandler,Chandler
präsentieren,presente
nacken,pescoço
auflegen,desligar
vergangen,passado
fangt,capturas
hühner,Frango
hector,Hector
teal,cerceta
sprengen,busto
einsperren,trancar
turner,ginasta
zusammenhang,conexão
wahrer,verdadeiro
joan,Joan
marco,Marco
breit,largo
pfeife,cano
treibst,deriva
rannte,corrido
beschuldigt,acusado
#VALOR!,#Valentia!
verlegt,disposto
überraschungen,surpresas
orleans,Orleans
douglas,Douglas
tauchen,mergulho
verdanken,dever
nadel,agulha
psst,Psst
gelacht,risos
apfel,maçã
behilflich,útil
dreckskerl,sujo
mitgefühl,compaixão
wichtigsten,principal
krieges,guerra
wehe,Ai
hope,saltar
heirat,casado
exakt,exatamente
widerstehen,resistir
höchst,máximo
zurückgelassen,deixado para trás
gespürt,sentido
methoden,métodos
interessantes,interessante
sau,semear
notaufnahme,Departamento de emergência
verwandten,parentes
jeffrey,Jeffrey
trinkgeld,dica
ermitteln,determinar
riechst,cheiro
beach,praia
sorte,variedade
kartoffeln,batatas
bo,Bo
elefanten,elefante
sichere,seguro
sämtliche,todos
gekündigt,desistir
vereinbarung,acordo
harmlos,inofensivo
weiber,mulheres
this,Esse
dicken,engrossar
rauskommt,sai
old,velho
angestellten,funcionário
datum,data
bezug,relação
kerzen,velas
lawrence,Lawrence
marsch,marchar
benötigt,necessário
ermittlung,detecção
lagen,deitar
unbekannt,desconhecido
gefressen,comido
brett,quadro
manieren,maneiras
han,Han
enthält,contém
anfing,começar
kümmerst,cuidadoso
berühmte,famoso
schwieriger,mais difícil
piloten,piloto
scherze,piada
anfängt,começa
läufst,correr
bekannten,conhecido
rasen,grama
empfehlen,recomendar
härter,mais difícil
geweckt,despertado
befördert,promovido
reiter,equestre
empfinden,sentir
j,J
bereite,preparar
täte,fazer
benutzte,usado
halloween,dia das Bruxas
abgesagt,cancelado
down,abaixo
quasi,por assim dizer
kocht,cozinha
reingekommen,entrou
hupen,Buzina
hinunter,abaixo
vorüber,sobre
ausdrücken,para expressar
reese,Reese
elliot,Elliot
perfekten,perfeito
folgte,seguido
rebellen,rebelde
di,Di
hauptsächlich,principalmente
schuppen,escalas
braver,BRAVER
neill,Neiling
zwanzig,vinte
berichtet,relatado
einrichtung,móveis
november,novembro
sensoren,sensores
korrigiert,corrigido
houston,Houston
richie,Richie
verdächtig,suspeito
legst,colocar
aufgebracht,chateado
alternative,alternativa
experte,especialista
ferne,distância
prinzip,princípio
holte,buscado
richte,juiz
donald,Donald
weisen,apontar
ozean,oceano
gelungen,sucesso
natalie,Natalie
esther,Esther
abschaum,escumalha
stevie,Stevie
überwacht,supervisionado
schwierige,difícil
ausgedrückt,expresso
hastings,Hastings
notruf,ligação de emergência
riss,rachadura
bremsen,freio
häufig,freqüentemente
aktivieren,ativar
lloyd,Lloyd
anstrengend,estressante
antwortet,respostas
ais,AIS
verschwörung,conspiração
kellner,garçom
startet,inicia
franklin,Franklin
andermal,em outro lugar
humphrey,Humphrey
evan,Evan
lkw,caminhão
erhält,pegar
schmeißt,lançar
fürst,Principe
carson,Carson
perry,perada
küsse,beijo
gebet,oração
miranda,Miranda
melancholische,melancólico
räume,quartos
riskiert,arriscado
verhindert,impedido
ausrede,desculpa
darling,Querido
tüte,bolsa
manhattan,Manhattan
operiert,operado
unfassbar,incompreensível
herrin,amante
hergestellt,fabricado
lila,roxo
gerichtet,direcionado
fordern,demanda
fischen,pescaria
kriminelle,Criminoso
jenem,que
verschafft,olhou
dezember,dezembro
anspruch,alegar
räuspert,limpo
sid,Sid
unsichtbar,invisível
keith,Keith
seth,Seth
ersetzt,substituído
ruby,rubi
handtuch,toalha de mão
yang,Yang
dale,Dale
blödes,estúpido
doof,burro
wertvoll,de valor
kardinal,cardeal
jefferson,Jefferson
kommunikation,comunicação
operieren,operar
problemen,problemas
aliens,Aliens
cameron,Cameron
erik,Erik
erkannte,reconhecido
river,rio
loszuwerden,livrar-se de
unnötig,desnecessário
begleite,acompanhar
analyse,análise
hochzeitstag,dia do casamento
melodie,melodia
wehren,defender
pablo,pablo
romantische,romântico
zurückrufen,ligar de volta
rente,pensão
zeremonie,cerimônia
platte,placa
now,neve
ersatz,substituto
mütze,boné
veränderungen,mudanças
zeugin,testemunha
rührt,mexer
versichert,segurado
teilt,Dividido
russisch,russo
wundervolle,maravilhoso
willy,Willy
wiederhören,ouvir
passagiere,passageiros
diebe,Ladrões
guckst,olhar
fließt,flui
elend,miséria
andauernd,continuamente
nicky,Nicky
ungeheuer,enorme
fit,ajustar
zeitverschwendung,desperdício
ansicht,opinião
gefährliche,perigoso
bell,Sino
vierte,quarto
verbrachte,gasto
zentimeter,centímetro
trete,etapa
politische,político
interessen,Interesses
anlage,anexo
anderson,Anderson
autounfall,acidente de carro
gefangener,Prisioneiro
aufstand,revolta
schafe,ovelha
absolute,absoluto
kontakte,Contatos
trip,viagem
notizen,notas
ausgegeben,saída
versorgt,oferecido
gnaden,graça
piraten,pirata
eli,Eli
stuart,Stuart
sowohl,assim como
muskeln,músculos
unwahrscheinlich,improvável
steak,bife
japaner,japonês
spritze,injeção
there,lá
fesseln,vincular
umarmen,abraçar
loser,perdedor
begleitet,acompanhado
früheren,mais cedo
ally,Aliado
wacht,assistir
morden,assassinato
eingefallen,caído
fox,raposa
schneide,ponta
weiten,ampliar
times,vezes
musiker,Músico
reichweite,Faixa
hood,capuz
maya,Maya
handys,celulares
öffentlichen,público
beleidigen,insulto
russischen,russo
gabriel,Gabriel
glenn,Glenn
erschien,apareceu
romeo,Romeu
wünsch,desejar
schach,xadrez
explodieren,explodir
kater,Gato macho
wundern,Seja surpreso
französischen,Francês
thompson,Thompson
habs,hábito
beeinflussen,influência
heult,uivando
hinfahren,dirigir para
bedingung,doença
empfinde,sentir
top,Principal
gemocht,envenenado
heran,até
stella,Stella
ärgern,irritar
klingst,som
konkurrenz,concorrência
erfordert,requer
mädchens,garota
unsicher,inseguro
festung,fortaleza
runden,redondo
detektiv,detetive
pastor,pastor
kratzer,arranhar
junges,jovem
melissa,Melissa
gruselig,horrível
flugzeuge,Aeronave
durchgeführt,realizado
intelligenz,inteligência
stieg,rosa
zugestimmt,acordado
mutti,mãe
genieße,gênio
schützt,proteger
rückzug,retiro
konzentriert,concentrado
schäme,envergonhado
reserviert,reservado
goldenen,dourado
bude,cabine
metall,metal
kane,bengala
jacques,Jacques
nüchtern,sóbrio
absichten,intenção
south,sul
handschuhe,luvas
erschießt,tiroteio
arrangiert,arranjado
verwundet,ferido
debbie,Debbie
bates,Bates
anfühlt,sentimentos
drückt,pressionado
absagen,cancelar
behalt,mantido
einiger,alguns
russische,russo
beeindrucken,impressionar
düstere,sombrio
geschäftlich,negócios
egoistisch,egoísta
mario,Mario
rocky,rochoso
ranch,rancho
pat,paciente
gerücht,boato
jen,que
temperatur,temperatura
weggenommen,levado embora
tickets,ingressos
li,Li
ablenken,vez
verletzung,ferida
anwesend,presente
umlegen,Abaixe
einfachen,simples
gehorchen,obedecer
gemalt,pintado
duncan,Duncan
räuber,ladrão
adler,Águia
süßigkeiten,doces
lunge,pulmão
zurückziehen,retirar
wyatt,Wyatt
sonnenuntergang,pôr do sol
oper,Ópera
agentur,Agência
kühe,vacas
aufräumen,limpar
krach,barulho
sharon,compartilhar
ablehnen,rejeitar
graham,Graham
pfeil,seta
unbekannte,desconhecido
aussprechen,expressar
route,rota
emotional,emocionalmente
belästigen,molestar
kälte,frio
sektor,setor
blockiert,bloqueado
öffentliche,público
schweden,Suécia
gates,portões
häuptling,chefe
märz,Marchar
nummern,números
dar,dar
irrst,errado
leite,liderar
frosch,sapo
vorübergehend,nesse meio tempo
büchern,livros
mick,Mick
miese,nojento
anfangs,inicialmente
verwandt,relacionado
gefährdet,ameaçadas de extinção
cola,Cola
falscher,falsificador
kara,Kara
verängstigt,com medo
quellen,fontes
republik,república
f,F
us,NÓS
silber,prata
aß,comeu
umschlag,envelope
freust,alegria
hinsicht,respeito
ereignis,evento
beschissene,merda
vergraben,enterrar
gebunden,vinculado
marion,Marion
ente,pato
gläser,vidro
kommentar,Comente
doppelte,dobro
boris,Boris
sanfte,lixo
gibbs,Gibbs
lola,LOLA
buck,dobradiça
zivilisation,civilização
tiefen,profundidades
reicher,Mais rico
verhaftung,prender prisão
meldung,relatório
bohnen,feijão
pfeifen,Tubos
hall,ressonância
leon,Leon
raketen,foguete
gutem,bom
versetzen,desvio
ziege,cabra
löwe,leão
cat,gato
central,Central
tötest,mais matado
pierce,perfurar
privatsphäre,privacidade
j.,j.
büßen,Pague
kalten,frio
eid,juramento
burschen,cara
zweit,segundo
unterscheiden,diferenciar
gerechnet,esperado
telegramm,telegrama
sprecht,Falando
babysitter,babá
pfad,caminho
getanzt,dançando
mafia,máfia
verteidigt,defender
abschalten,desligar
wellen,ondas
besoffen,bêbado
diensten,serviço
abschließen,concluir
angehalten,parou
doyle,Doyle
assistent,assistente
ketten,corrente
reist,áspero
merkst,observação
bot,robô
gwen,Gwen
inwiefern,de que maneira
pille,comprimido
bock,desejo
korb,cesta
herrschaften,cavalheiros
en,en
bedauern,arrependimento
angefasst,compatível
heißer,mais quente
aufrichtig,sincero
conrad,Conrad
versorgen,cuide de
sperren,bloquear
naiv,ingênuo
mauern,parede
hugo,Hugo
erweisen,provar
zurücklassen,deixar para trás
samurai,samurai
hoffnungen,esperanças
feststellen,determinado
finch,Finch
mandanten,cliente
quartier,Quarters
philippe,Philippe
neidisch,inveja
alicia,Alicia
chips,batatas fritas
zugelassen,autorizado
weibliche,fêmea
schlauer,esperto
vorwürfe,acusações
aushalten,aguentar
einschlafen,cair no sono adormecer
transport,transporte
laptop,Computador portátil
arrangieren,arranjo
städte,cidades
vorzustellen,apresentar
unterm,sob
flash,clarão
u-bahn,Metrô
status,status
bond,ligação
stephanie,Stephanie
zweifellos,sem dúvida
rückwärts,para trás
chffff,Chffff
skandal,escândalo
angebracht,apropriado
pressen,imprensa
tschuldigung,Desculpe
papierkram,papelada
trat,chutado
gemeinschaft,comunidade
instinkt,instinto
flitterwochen,lua de mel
narbe,cicatriz
kombination,combinação
vorgesetzten,superior
ausprobieren,experimentar
solcher,tal
sexuelle,sexual
geliebter,amante
julien,Julien
lauren,Lauren
ignoriert,ignorado
leslie,Leslie
zogen,retirado
zahnarzt,dentista
gelitten,sofreu
zutritt,acesso
vergewaltigung,estupro
drehe,vez
ertrage,tronco
andern,mudar
streich,Peça
kichert,risadinha
sternenflotte,frota estrela
kreaturen,criaturas
reif,maduro
übermorgen,dia depois de Amanhã
dicker,mais espesso
got,pegou
nest,ninho
but,mas
angerichtet,servido
verklagen,Processar
helm,capacete
bingo,Bingo
vergleichen,comparar
schweiz,Suíça
bemerken,perceber
herbst,outono
meredith,Meredith
zurückholen,trazer de volta
nazis,Nazistas
stamm,tribo
auswahl,seleção
braves,Braves
sichergehen,divirta-se com segurança
antreten,competir
lester,Lester
vorstand,Conselho Administrativo
sdi,SDI
robbie,Robbie
organisieren,organizar
tank,tanque
let,Deixar
besprechung,reunião
studium,estudos
gossip,fofoca
kreditkarte,Cartão de crédito
schwuchtel,dobrar
profil,perfil
donner,trovão
drake,Drake
schrecken,susto
stall,celeiro
saßen,sentado
quitt,Quot
hotels,hotéis
respektiere,respeito
kandidaten,candidato
schulen,escolas
crane,guindaste
geschäftsmann,homem de negocios
arnold,Arnold
läutet,anel
lachst,ri de
champion,campeão
unverständlich,incompreensível
ermorden,assassinar
betracht,considerado
schadet,prejudicial
fester,empresa
aah,Aah
rühren,mexer
geregelt,regulamentado
unterbrochen,interrompido
angesicht,face
kriminellen,Criminoso
when,Enquanto
helena,Helena
einzelheiten,detalhes
anlügen,mentira
beschütze,proteger
stattfinden,tomar lugar
dads,pais
fortschritt,progresso
gelingt,ter sucesso
feierabend,Hora de sair
feste,celebração
burger,cidadãos
spannend,excitante
deputy,deputado
einnehmen,assimilar
schalte,tomada
passwort,senha
würstchen,cachorro-quente
mittlerweile,enquanto isso
aufzugeben,desistir
führst,liderar
harper,Harper
zivilisten,civil
ewige,eterno
emotionen,emoções
beurteilen,juiz
käufer,comprador
stars,estrelas
erwachsenen,adulto
division,divisão
aufzunehmen,escolher
booth,Boooth
werft,estaleiro
ältere,mais velho
banken,bancos
kätzchen,gatinho
option,opção
heiratest,casado
rettete,salvou
aufstellen,configurar
husten,tosse
schublade,gaveta
gestürzt,derrubado
seattle,Seattle
ankommt,chegar
befragt,entrevistado
buchstaben,cartas
spielten,jogar
gestiegen,subiu
abgefahren,louco
gewaschen,lavado
anzunehmen,aceitar
rob,roubar
anzahl,número
zombies,zumbis
have,ter
anhänger,fã
gewisser,certo
vorkommen,acontecer
festnehmen,prender prisão
willow,Salgueiro
medizinischen,médico
kern,essencial
offene,abrir
gefeiert,célebre
anschließen,conectar
rico,Rico
clarke,Clarke
erfindung,invenção
besserer,melhorar
autopsie,autópsia
rucksack,mochila
zwingt,forçado
gnädige,impiedoso
einsamkeit,solidão
gesprungen,pular
t-shirt,Camiseta
geopfert,sacrificado
lena,Lena
beiseite,aparte
umgekehrt,o oposto
geschworenen,júri
draussen,fora
ausgesprochen,pronunciado
beseitigen,remover
burg,Castelo
ausführen,levar a cabo
gesperrt,bloqueado
carla,Carla
irrer,louco
drehte,virado
ersparen,salvar
force,força
frech,atrevido
einziehen,coletar
kira,Kira
hot,quente
genehmigung,permitir
tankstelle,Posto de gasolina
versteckte,escondido
interessanter,mais interessante
schneider,cortador
gelb,amarelo
et,et
gefährden,em perigo
handtasche,bolsa
urteilen,julgar
erhöht,elevado
preise,Preços
bumm,estrondo
unbekannten,desconhecido
gelten,é válido
life,vida
butler,mordomo
möglichst,se possível
münze,moeda
singe,cantar
saison,temporada
andrea,Andrea
partnerin,parceiro
haltung,atitude
vollidiot,idiota
fasst,resumido
winston,Winston
minus,menos
pflichten,obrigações
spar,Spar
demselben,o mesmo
ruhestand,aposentadoria
versteckst,escondido
kai,cais
bewachen,guarda
oz,oz
vera,Vera
anhörung,audição
lieder,Músicas
miguel,Miguel
dreckig,sujo
verbreiten,espalhar
wei,branco
sch,brilhar
carmen,Carmen
first,primeiro
schenke,Doar
wölfe,Wolve
erholen,recuperar
bedenkt,consideração
blutet,sangramento
freddie,Freddie
beschweren,reclamar
schmeiß,lançar
gauner,por conta própria
verursachen,causa
elvis,Elvis
produkt,produtos
cathy,Cathy
tafel,quadro-negro
kacke,merda
versammelt,coletado
sandra,Sandra
regelmäßig,regularmente
geschrei,gritando
ruder,leme
allah,Allah
vollen,completo
aktivitäten,Atividades
wohnte,vivido
kaninchen,Coelhos
systeme,sistemas
orange,laranja
platten,pratos
rex,Rex
y,y
geliehen,emprestar
befolgen,seguir
belästigt,molestado
hongkong,Hong Kong
zombie,zumbi
vorgeht,prossegue
heißes,quente
überprüfe,verificar
veröffentlicht,Publicados
erschieß,tiroteio
mahlzeit,tenha uma boa refeição
offizielle,oficial
yorker,Yorker
angie,Angie
aufbrechen,arrombar
überlasse,folha
get,pegar
kenntnis,conhecimento
beschissenen,merda
trevor,Trevor
verbindet,conectado
sanitäter,paramédico
überraschend,surpreso
geantwortet,respondidas
droht,ameaça
italienisch,italiano
verhör,interrogatório
größeres,maior
klagen,reclamar
dichter,poeta
großartiger,ótimo
gratis,livre
fürchtet,temido
abzuholen,escolher
gefühlen,emoções
beschäftigen,ocupar
unglaubliche,incrível
selbe,mesmo
barnes,Barnes
spürt,sentir
funkgerät,rádio
abgegeben,entregue
laurel,Louro
angemessen,apropriado
ohnehin,de qualquer forma
chinesisch,chinês
orden,medalha
angeheuert,contratado
wählt,escolhe
lustige,engraçado
abhängen,depender
vierten,quarto
tanner,Curtidor
schläge,golpes
zögern,hesitar
bezeichnen,descrever
seltsames,estranho
beruflich,profissionalmente
un,UN
bedeckt,abordado
anzufangen,começar
geraucht,contrabandeado
töteten,morto
begeben,ir
verständlich,compreensível
pop,pop
merkte,percebido
infektion,infecção
kitty,gatinha
entspricht,é equivalente a
winkel,ângulo
experten,Especialistas
betten,camas
boxen,caixa
torte,bolo
austausch,intercâmbio
aufregen,excitar
vermuten,presumir
geheimdienst,inteligência
schlangen,cobras
erholt,recuperado
zach,bochecha
überzeugend,convincente
prue,Prue
genick,pescoço
wuchs,crescimento
autorität,autoridade
schinken,presunto
wien,Viena
langes,longo
sookie,Sookie
zoey,Zoey
fetten,gordo
hai,Tubarão
binden,gravata
erpressung,chantagem
derzeit,atualmente
getäuscht,enganado
buddy,companheiro
keines,nenhum
sammlung,coleção
anruft,chamar
tauchte,mergulho
weist,sabiamente
ergreifen,pegar
frohes,feliz
hänge,encostas
bewohner,residente
entschied,decidido
supermarkt,Supermercado
offiziere,Policial
verwandte,relativo
schwachkopf,Idiota
antoine,Antoine
irak,Iraque
rangehen,ir
naomi,Naomi
kündigen,desistir
geldes,dinheiro
dealer,distribuidor
könige,rei
army,exército
januar,Janeiro
agnes,Agnes
priorität,prioridade
beförderung,promoção
kranke,pessoa doente
eifersucht,ciúmes
way,caminho
heutige,hoje
sprang,pular
kürze,brevidade
polen,Polônia
erbärmlich,miserável
erfasst,gravado
besonderer,especial
good,bom
geräte,dispositivos
tanze,dança
königliche,Real
durchmachen,ir através
dallas,Dallas
verschwendet,desperdiçado
kennedy,Kennedy
uld,uuld
alec,Alec
akzeptiere,aceitar
ausgeschaltet,desligado
ufer,margem do rio
risiken,riscos
schrie,gritar
beeinflusst,influenciado
hal,Hal
aussiehst,visual
ausgebildet,educado
bezirk,distrito
herrje,Senhor.
beauftragt,instruído
geschützt,protegido
abgeschnitten,cortar
qualität,qualidade
henker,carrasco
ausgezogen,mudou-se
versichern,assegurar
gewinnst,ganhar
navy,marinha
schmidt,Schmidt
beschloss,decidido
batman,homem Morcego
sun,sol
kapierst,boné
scheibe,disco
veronica,Veronica
rosie,Rosie
pedro,Pedro
konferenz,conferência
länder,países
flecken,manchas
fur,para
neal,Neal
sonnenaufgang,nascer do sol
reed,Reed
braun,marrom
diagnose,diagnóstico
paranoid,paranóico
weltraum,espaço
adams,Adams
vorbild,exemplo
halle,Salão
wandern,caminhada
fisher,Fisher
frost,geada
gehandelt,negociado
hawaii,Havaí
kabine,cabine
chefin,chefe
porter,porteiro
römer,romano
weinst,cristão
bäumen,árvores
simpson,Simpson
datenbank,Base de dados
suchten,procurou por
gesegnet,abençoado
teilnehmen,participar
umbringt,matar
claude,Claude
blonde,loiro
bunker,bunker
mieser,nojento
löffel,colher
geteilt,dividido
klaren,limpar
bree,Bree
abhängig,dependente
überlebenden,sobreviver
worf,Worf
geeignet,adequado
hindern,evitar
fahrstuhl,elevador
ausgeht,sair
mylady,minha dama
flagge,bandeira
komplette,completo
hing,pendurado
italiener,italiano
disziplin,disciplina
erzogen,comportado
harvard,Harvard
kongress,Congresso
eingezogen,mudou-se
kurzer,mais curta
schirm,guarda-chuva
merlin,Merlin
charme,charme
vorlesen,Leia em voz alta
gefährlicher,mais perigoso
mitfahren,andar junto
maurice,Maurice
anzeigen,processar
d.,d.
schieb,deslizar
empfindlich,confidencial
parken,parque
koche,culinária
gestrichen,pintado
berühmten,famoso
manchen,alguns
klopf,tocar
zorro,Zorro
reichlich,abundante
lügnerin,mentiroso
mode,Moda
songs,músicas
breche,brisa
ausgeraubt,roubado
hahn,torneira
wußte,sabia
krachen,colidir
spürte,sentido
versammlung,Conjunto
folter,tortura
speck,bacon
bedrohliche,ameaçador
piept,Bipes
verbreitet,espalhar
nolan,Nolan
tore,Portões
t.,t.
vorräte,Ações
saal,sala
wirtschaft,negócios
fremd,estrangeiro
mehrmals,várias vezes
generationen,gerações
coole,legal
kaufst,comprar
abbrechen,interromper
seife,sabão
herde,rebanho
zwerg,anão
brandon,Brandon
z.b.,por exemplo.
neffen,sobrinho
festgehalten,gravado
ablenkung,desvio
totale,total
herrscher,Governante
überstehen,sobreviver
sprengstoff,explosivo
mikey,Mikey
erdbeben,terremoto
level,nível
australien,Austrália
figuren,personagens
älteren,mais velho
lynn,Lynn
po,nádega
theo,Theo
spinnt,estraga
gleichgewicht,equilíbrio
schalter,trocar
kumpels,parceiro
zuneigung,afeição
rollstuhl,cadeira de rodas
bienen,abelhas
mischen,Misturar
hauptstadt,capital
koks,Coca
piepen,bip
langem,longo
umsehen,olhar em volta
gelegen,localizado
em,Em
banditen,bandido
hasste,apressado
getestet,testado
camille,Camille
brody,Brody
dosis,dose
glaubten,acreditava
somit,com isso
ernähren,alimentar
hacken,cortar
kammer,câmara
lenny,Lenny
roll,rolo
bezaubernd,adorável
wiederholt,repetido
zueinander,um com o outro
tattoo,tatuagem
melanie,Melanie
einschließlich,Incluindo
randall,margem
finsternis,escuridão
wallace,Wallace
betrachte,Olhe para
schmerzt,doloroso
gelehrt,ensinado
gewechselt,mudado
menschliches,humano
redete,falou sobre
frühen,cedo
voyager,viajante
caleb,Caleb
entdeckte,descoberto
wirkte,trabalhado
versprichst,promessa
scheine,brilhar
transporter,furgão
n.,n.
moderne,modernidade
elijah,Elijah
wilder,selvagem
abgelenkt,desviado
abzug,dedução
north,norte
becher,um copo
sicherstellen,para garantir
e.,e.
anweisung,instrução
klettern,escalar
fingern,dedo
geste,gesto
spürst,sentir
privatleben,vida privada
zusammenarbeit,cooperação
hinauf,acima
si,si
tokio,Tóquio
sicherheitsdienst,serviço de segurança
kaugummi,goma de mascar
weltkrieg,Segunda Guerra Mundial
huren,prostitutas
foster,fomentar
gemeinsamen,comum
garantieren,garantir
wells,poços
ln,ln
antonio,Antonio
kommunizieren,comunicar
cm,cm
marc,Marc
blieben,ficou
technisch,tecnicamente
frühstücken,tomar café da manhã
ve,ve
khan,Khan
billiger,mais barato
elaine,Elaine
standort,localização
wagt,audaz
leugnen,negar
beißt,mordida
landung,pousar
ernste,sério
schockiert,chocado
esst,comer
begleitung,acompanhamento
allianz,aliança
vermutet,suposto
echo,eco
herstellen,produzir
lars,Lars
lokal,local
sklave,escravo
honig,mel
videos,vídeos
verkehrt,chateado
göttin,deusa
segeln,velejar
bewahrt,salvou
cass,Cass
hinterließ,deixado para trás
ganzer,todo
cody,Cody
doris,Doris
verurteilen,julgado
höchsten,Altíssima
februar,Fevereiro
privaten,privado
burke,Burke
v,V
begegnung,encontro
steige,escalar
feuerwehr,corpo de Bombeiros
apollo,Apollo
beginne,começar
ähnliches,semelhante
stevens,Stevens
grauen,Horror
wärter,guarda
gewann,ganho
vertreter,representante
starker,mais forte
liebend,amoroso
marge,margem
schoß,colo
serviert,servido
heilig,sagrado
bißchen,um pouco
security,segurança
genaue,preciso
wally,Wally
gewaltig,enorme
knoten,nó
begriffen,entendido
klarstellen,claro
chwhite,Chghita
hinrichtung,execução
überwinden,superar
ablegen,decolar
einfällt,Inserir
wundert,maravilhas
stimmte,acordado
drohen,ameaçar
madison,Madison
entgehen,escapar
stundenlang,por horas
hausmeister,Superintendente de construção
helikopter,helicóptero
beverly,Beverly
puppen,bonecas
aussah,visto
night,noite
beobachte,observar
check,verificar
juwelen,jóia
bogen,arco
duft,aroma
ankam,chegado
respektiert,respeitado
non,não
schein,brilho
gewehre,rifle
kellnerin,Garçonete
vertraulich,confidencial
insgesamt,no total
ächzen,gemido
untersuchungen,estudos
fliegst,voar
platt,plano
aufrecht,na vertical
geprüft,verificado
hammond,Hammond
bedient,servido
mangel,falta
hoher,mais alto
knien,ajoelhar
hobby,passatempo
ling,ling
ivan,Ivan
nachtisch,sobremesa
kollegin,colega de trabalho
edwards,Edwards
alptraum,pesadelo
regina,Regina
ausgesehen,olhar
reichtum,fortuna
überaus,extremamente
eisen,ferro
beamen,feixe
haftbefehl,mandado de prisão
verletzte,pessoa ferida
buchstäblich,literalmente
größter,Maior
sylvia,Sylvia
flieg,voar
dreckige,sujo
erfinden,inventar
ernte,colheita
kamin,chaminé
scotty,Scotty
weste,colete
sahst,serra
kennzeichen,Marca
grayson,Grayson
kronen,coroa
wage,remuneração
z,Z
siegen,ganhar
verlobten,noiva
edgar,Edgar
afghanistan,Afeganistão
würdig,valioso
aufwacht,acordar
gratulieren,felicitar
schwager,cunhado
violet,tolet
infos,Informações
föderation,federação
dose,pode
wärme,cordialidade
erschienen,apareceu
magazin,revista
klemme,grampo
schenkt,presentes
min,min
wars,ala
verstoßen,violar
nicholas,Nicholas
georgia,Geórgia
kräftig,poderoso
herzens,coração
mel,Mel
nachbarin,vizinho
igitt,igitt
formel,Fórmula
bro,irmão
hervor,fora
wohnwagen,caravana
wegwerfen,jogar fora
spinne,aranha
tumor,tumor
bezahlung,pagar
päckchen,parcela
grob,duro
nagel,unha
donovan,Donovan
starren,olhar fixamente
vertreiben,sair
wirkst,funciona
traust,Ouse
heiratete,casado
take,decolar
neuesten,mais recente
e-mails,e-mails
gitter,LATTICE
blocks,blocos
erobern,conquistar
gin,Gin
spinnen,seja louco
gestalt,forma
liter,litro
patty,Patty
drew,Atraiu
